Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778707920,200,,Aggregated,30.300000,0.000000,16,110,1700,5300,8400,11000,13000,15000,19000,21000,21000,3243,0,16,2077.329863518976,1.6689170006429777,21145.788750000065,267.1551032994141
1778707921,200,,Aggregated,30.700000,0.000000,17,110,1700,5300,8400,11000,13000,15000,19000,21000,21000,3272,0,17,2078.6964733777604,1.6689170006429777,21145.788750000065,267.2952322738386
1778707922,200,,Aggregated,31.300000,0.000000,17,110,1700,5300,8400,11000,13000,15000,19000,21000,21000,3298,0,17,2081.3687139354233,1.6689170006429777,21145.788750000065,267.09157064887813
1778707923,200,,Aggregated,29.200000,0.000000,17,110,1700,5300,8400,11000,13000,15000,19000,21000,21000,3334,0,16,2078.710381978413,1.6689170006429777,21145.788750000065,267.61577684463106
1778707924,200,,Aggregated,29.600000,0.000000,17,110,1700,5300,8400,11000,13000,15000,19000,21000,21000,3362,0,17,2076.8971538447427,1.6689170006429777,21145.788750000065,267.6386079714456
1778707925,200,,Aggregated,30.200000,0.000000,17,110,1900,5400,8400,11000,13000,15000,19000,21000,21000,3393,0,17,2085.8809319115894,1.6689170006429777,21145.788750000065,267.84615384615387
1778707926,200,,Aggregated,30.800000,0.000000,17,110,1900,5400,8400,11000,13000,15000,19000,21000,21000,3426,0,17,2086.9903535525464,1.6689170006429777,21145.788750000065,268.1313485113835
1778707927,200,,Aggregated,30.600000,0.000000,17,110,1900,5400,8400,11000,13000,15000,19000,21000,21000,3446,0,17,2090.8025251561317,1.6689170006429777,21145.788750000065,268.1433546140453
1778707928,200,,Aggregated,30.300000,0.000000,17,110,2000,5400,8500,11000,13000,15000,19000,21000,21000,3471,0,17,2102.5074622520974,1.6689170006429777,21145.788750000065,268.27686545664073
1778707929,200,,Aggregated,30.400000,0.000000,17,110,2000,5400,8500,11000,13000,15000,19000,21000,21000,3510,0,17,2098.5488804783554,1.6689170006429777,21145.788750000065,268.2270655270655
1778707930,200,,Aggregated,29.500000,0.000000,17,110,2000,5400,8400,11000,13000,15000,19000,21000,21000,3539,0,17,2095.2300959138256,1.6689170006429777,21145.788750000065,268.24752755015544
1778707931,200,,Aggregated,29.600000,0.000000,17,110,1900,5400,8400,11000,13000,15000,19000,21000,21000,3564,0,17,2092.47545299608,1.6689170006429777,21145.788750000065,268.31060606060606
1778707932,200,,Aggregated,29.000000,0.000000,17,110,2000,5400,8500,11000,13000,15000,19000,21000,21000,3600,0,17,2096.3129899011215,1.6689170006429777,21145.788750000065,268.4683333333333
1778707933,200,,Aggregated,29.900000,0.000000,16,110,1900,5400,8400,11000,13000,15000,19000,21000,21000,3627,0,16,2092.409725317078,1.6689170006429777,21145.788750000065,268.77777777777777
1778707934,200,,Aggregated,29.800000,0.000000,17,110,2100,5400,8500,11000,13000,15000,19000,21000,21000,3662,0,17,2099.027768584392,1.6689170006429777,21145.788750000065,268.52621518296013
1778707935,200,,Aggregated,29.700000,0.000000,17,110,2100,5400,8500,11000,13000,15000,19000,21000,21000,3693,0,17,2104.29399998214,1.6689170006429777,21145.788750000065,268.51963173571625
1778707936,200,,Aggregated,29.800000,0.000000,16,110,2000,5400,8500,11000,13000,15000,19000,21000,21000,3723,0,16,2099.7696385702498,1.6689170006429777,21145.788750000065,268.61858716089176
1778707937,200,,Aggregated,30.200000,0.000000,16,110,2000,5400,8500,11000,13000,15000,19000,21000,21000,3753,0,16,2098.2331457007817,1.6689170006429777,21145.788750000065,268.1156408206768
1778707938,200,,Aggregated,30.100000,0.000000,16,110,1900,5400,8500,11000,13000,15000,19000,21000,21000,3786,0,16,2093.0843958843193,1.6689170006429777,21145.788750000065,267.9268357105124
1778707939,200,,Aggregated,30.400000,0.000000,16,110,1900,5400,8500,11000,13000,15000,19000,21000,21000,3820,0,16,2093.430065287967,1.6689170006429777,21145.788750000065,268.05287958115184
1778707940,200,,Aggregated,30.700000,0.000000,16,110,1900,5400,8500,11000,13000,15000,19000,21000,21000,3863,0,16,2088.830256446811,1.6689170006429777,21145.788750000065,267.47165415480197
1778707941,200,,Aggregated,30.600000,0.000000,15,110,1900,5400,8500,11000,13000,15000,19000,21000,21000,3898,0,15,2088.9069505161706,1.6689170006429777,21145.788750000065,267.2650076962545
1778707942,200,,Aggregated,31.500000,0.000000,15,110,1900,5400,8500,11000,13000,15000,19000,21000,21000,3926,0,15,2086.208380377491,1.6689170006429777,21145.788750000065,267.3423331635252
1778707943,200,,Aggregated,32.100000,0.000000,15,110,1900,5400,8500,11000,13000,15000,19000,21000,21000,3962,0,15,2084.422008871538,1.6689170006429777,21145.788750000065,267.4581019687027
1778707944,200,,Aggregated,32.900000,0.000000,15,110,1900,5400,8500,11000,13000,15000,19000,21000,21000,3991,0,15,2085.2226275422277,1.6689170006429777,21145.788750000065,267.38987722375344
1778707945,200,,Aggregated,32.500000,0.000000,15,110,1700,5400,8500,11000,13000,15000,19000,21000,21000,4023,0,15,2080.3745834529027,1.6689170006429777,21145.788750000065,267.22595078299776
1778707946,200,,Aggregated,33.100000,0.000000,15,110,1900,5400,8500,11000,13000,15000,19000,21000,21000,4047,0,15,2088.6739027519207,1.6689170006429777,21145.788750000065,267.23647146034097
